data_format,name,evaluation,size,tag,browse,price,trade,trade_year,type,file_type,trade_mouth,time,trade_week
,全国车辆违章查询支持新能源车,4,,交通违章,11488,0.030元/次,0,0,API数据,,0,,0
,阿里巴巴整店商品查询,4,,电子商务,25871,0.016元/次,0,0,API数据,,0,,0
,企业行政处罚信息核验,4,,企业综合,22220,0.80元/次,0,0,API数据,,0,,0
,银行卡OCR识别,4,,智能识别,24601,0.030元/次,0,0,API数据,,0,,0
,企业工商三要素验证,4,,企业工商,29647,0.090元/次,0,0,API数据,,0,,0
,全国天气预报收费版,4,,天气查询,23144,4.00元/万次,0,0,API数据,,0,,0
,身份核验,5,,身份核验,27058,0.040元/次,38000,38000,API数据,,38000,,4000
,工业企业与生产数据,5,,产业经济,20807,0.15元/次,0,0,API数据,,0,,0
,农村与农业生产数据,5,,产业经济,29845,0.15元/次,0,0,API数据,,0,,0
,城市水资源数据查询,5,,产业经济,25865,0.15元/次,0,0,API数据,,0,,0
,城市道路和桥梁数据,5,,产业经济,29406,0.15元/次,0,0,API数据,,0,,0
,二三四要素银行卡实名认证,5,,银行卡核验,28870,0.23元/次,37000,37000,API数据,,14000,,0
,失信执行信息验证,4,,身份核验,24331,0.060元/次,0,0,API数据,,0,,0
,城市节约用水数据查询,5,,产业经济,21966,0.15元/次,0,0,API数据,,0,,0
,银行卡核验支持二三四要素,5,,银行卡核验,30534,0.23元/次,20000,20000,API数据,,19000,,0
,城市教育水平数据查询,5,,产业经济,26901,0.15元/次,0,0,API数据,,0,,0
,拇指快递查询,5,,快递查询,25196,0.002元/次,400000,400000,API数据,,0,,0
,发票识别,4,,智能风控,27942,0.080元/次,0,0,API数据,,0,,0
,人脸比对人脸身份证比对,5,,身份核验,30594,0.19元/次,20000,20000,API数据,,8000,,1000
,电商店铺销售数据查询,5,,电子商务,27872,30.00元/次,0,0,API数据,,0,,0
,专利全文PDF下载,5,,知识产权,22534,0.80元/次,0,0,API数据,,0,,0
,墨迹天气信息服务专业版cityid,5,,天气查询,28266,8.58元/万次,250000,250000,API数据,,0,,0
,专业版法院综合诉讼查询单篇详情,4,,风控,24866,0.18元/次,0,0,API数据,,0,,0
,汉王云银行卡识别,5,,1分钱,31167,0.095元/次,0,0,API数据,,0,,0
,iP地址查询,5,,IP地址,28365,5.00元/万次,11600000,11600000,API数据,,0,,0
,企业画像,5,,知识产权,22925,8.00元/次,0,0,API数据,,0,,0
,汉王云手写行叠写,5,,1分钱,22743,0.015元/次,0,0,API数据,,0,,0
,航班准点率查询,5,,航空航班,32895,0.011元/次,0,0,API数据,,0,,0
,汉王云手写公式,5,,智能识别,25822,0.040元/次,0,0,API数据,,0,,0
,作品著作权查询,5,,知识产权,22907,0.26元/次,0,0,API数据,,0,,0
,汉王云行驶证识别,5,,智能风控,31237,0.086元/次,0,0,API数据,,0,,0
,汉王云驾驶证识别,5,,智能风控,25721,0.064元/次,4400,0,API数据,,0,,0
,车牌识别API,5,,智能识别,28417,0.030元/次,0,0,API数据,,0,,0
,汉王云名片识别,5,,智能风控,25662,0.049元/次,16000,0,API数据,,0,,0
,国内天气灾害预警,5,,天气查询,23479,9.50元/万次,1400000,1200000,API数据,,200000,,200000
,天气预报,5,,天气查询,29107,0.001元/次,0,0,API数据,,0,,0
,企业工商数据查询,5,,企业工商,33604,2.67元/次,0,0,API数据,,0,,0
,软件著作权查询,5,,知识产权,23644,0.26元/次,0,0,API数据,,0,,0
,手机号码归属地查询,5,,1分钱,26831,5.00元/万次,2700000,2700000,API数据,,0,,0
,全国美容美发店位置数据,4,,位置地图,30305,0.20元/次,0,0,API数据,,0,,0
,手机归属地查询,5,,手机号码归属,30283,5.00元/万次,800000,800000,API数据,,400000,,0
,OCR电子书文字识别,4,,1分钱,21912,0.028元/次,0,0,API数据,,0,,0
,微博舆情数据实时搜索1次100条,5,,新闻资讯,22820,0.15元/次,2400,2400,API数据,,0,,0
,专业版法院失信及被执行人信息详情,5,,反欺诈,29276,0.080元/次,14000,14000,API数据,,0,,0
,专业版法院失信及被执行人信息检索,5,,反欺诈,29535,0.080元/次,20000,20000,API数据,,2000,,0
,全国违章查询,5,,交通违章,32619,0.040元/次,141500,110000,API数据,,0,,0
,全国工厂位置数据,4,,位置地图,29096,0.20元/次,0,0,API数据,,0,,0
,全国公司企业位置数据,4,,位置地图,27668,0.20元/次,0,0,API数据,,0,,0
,全国家居建材市场位置数据,4,,位置地图,22247,0.20元/次,0,0,API数据,,0,,0
,全国餐饮综合门店位置数据,4,,位置地图,21980,0.20元/次,0,0,API数据,,0,,0
,企业银行卡账户验证,4,,银行卡核验,23412,1.28元/次,0,0,API数据,,0,,0
,欠税违法税务负面信息专业版,5,,税务信息,29430,0.18元/次,1000,0,API数据,,0,,0
,专业版法院公告文书类查询检索,5,,公告文书,22018,0.080元/次,0,0,API数据,,0,,0
,工商经营异常信息查询接口,4,,经营管理,28697,0.10元/次,0,0,API数据,,0,,0
,银行卡识别,5,,银行卡信息,24716,0.018元/次,0,0,API数据,,0,,0
,历史上的今天,4,,舆情监测,27980,0.018元/次,0,0,API数据,,0,,0
,查询企业法院公告,4,,公告文书,22147,0.20元/次,0,0,API数据,,0,,0
